x,f(x)
0.000000,0.631390
0.003922,0.630304
0.007843,0.630430
0.011765,0.629750
0.015686,0.629743
0.019608,0.624129
0.023529,0.614925
0.027451,0.609814
0.031373,0.601715
0.035294,0.598942
0.039216,0.594759
0.043137,0.592585
0.047059,0.590892
0.050980,0.587700
0.054902,0.584452
0.058824,0.583529
0.062745,0.583017
0.066667,0.581248
0.070588,0.579454
0.074510,0.578333
0.078431,0.578205
0.082353,0.574598
0.086275,0.570493
0.090196,0.567394
0.094118,0.564212
0.098039,0.560431
0.101961,0.558279
0.105882,0.556777
0.109804,0.554104
0.113725,0.552212
0.117647,0.553112
0.121569,0.551503
0.125490,0.551037
0.129412,0.548457
0.133333,0.547188
0.137255,0.549188
0.141176,0.549163
0.145098,0.550189
0.149020,0.548154
0.152941,0.546213
0.156863,0.545635
0.160784,0.545816
0.164706,0.542060
0.168627,0.536644
0.172549,0.536213
0.176471,0.533834
0.180392,0.533447
0.184314,0.533626
0.188235,0.530650
0.192157,0.526214
0.196078,0.524287
0.200000,0.519072
0.203922,0.517674
0.207843,0.514417
0.211765,0.512066
0.215686,0.509616
0.219608,0.506574
0.223529,0.504521
0.227451,0.502655
0.231373,0.500740
0.235294,0.499762
0.239216,0.500297
0.243137,0.500703
0.247059,0.501669
0.250980,0.503303
0.254902,0.502506
0.258824,0.501280
0.262745,0.499176
0.266667,0.498147
0.270588,0.495469
0.274510,0.494368
0.278431,0.497774
0.282353,0.500790
0.286275,0.498318
0.290196,0.497547
0.294118,0.493301
0.298039,0.490680
0.301961,0.491533
0.305882,0.489165
0.309804,0.488217
0.313725,0.484391
0.317647,0.481947
0.321569,0.482898
0.325490,0.480438
0.329412,0.479447
0.333333,0.476022
0.337255,0.474569
0.341176,0.477370
0.345098,0.476445
0.349020,0.477200
0.352941,0.473521
0.356863,0.470447
0.360784,0.470589
0.364706,0.471883
0.368627,0.469025
0.372549,0.465470
0.376471,0.463918
0.380392,0.460493
0.384314,0.455947
0.388235,0.453543
0.392157,0.447689
0.396078,0.437869
0.400000,0.439888
0.403922,0.440867
0.407843,0.431734
0.411765,0.426166
0.415686,0.412827
0.419608,0.403339
0.423529,0.385971
0.427451,0.379682
0.431373,0.372695
0.435294,0.379708
0.439216,0.391534
0.443137,0.400900
0.447059,0.407735
0.450980,0.402041
0.454902,0.399680
0.458824,0.391345
0.462745,0.387034
0.466667,0.390350
0.470588,0.388794
0.474510,0.389696
0.478431,0.383014
0.482353,0.376119
0.486275,0.371427
0.490196,0.368501
0.494118,0.363399
0.498039,0.361418
0.501961,0.369097
0.505882,0.376130
0.509804,0.372047
0.513725,0.371455
0.517647,0.365263
0.521569,0.363946
0.525490,0.373560
0.529412,0.382596
0.533333,0.380678
0.537255,0.382218
0.541176,0.376795
0.545098,0.374785
0.549020,0.380096
0.552941,0.379200
0.556863,0.381114
0.560784,0.378013
0.564706,0.378327
0.568627,0.386824
0.572549,0.390069
0.576471,0.395986
0.580392,0.394626
0.584314,0.394006
0.588235,0.400073
0.592157,0.407445
0.596078,0.410432
0.600000,0.412947
0.603922,0.418354
0.607843,0.426017
0.611765,0.422354
0.615686,0.414130
0.619608,0.417352
0.623529,0.414474
0.627451,0.414403
0.631373,0.412195
0.635294,0.404129
0.639216,0.404700
0.643137,0.395132
0.647059,0.402713
0.650980,0.409322
0.654902,0.402919
0.658824,0.403328
0.662745,0.399589
0.666667,0.389861
0.670588,0.398642
0.674510,0.407864
0.678431,0.406832
0.682353,0.400271
0.686275,0.409774
0.690196,0.415074
0.694118,0.424056
0.698039,0.442282
0.701961,0.467833
0.705882,0.488911
0.709804,0.537155
0.713725,0.580939
0.717647,0.632676
0.721569,0.660165
0.725490,0.669448
0.729412,0.659043
0.733333,0.663557
0.737255,0.683264
0.741176,0.684311
0.745098,0.674174
0.749020,0.678348
0.752941,0.696911
0.756863,0.697931
0.760784,0.688129
0.764706,0.691596
0.768627,0.708486
0.772549,0.708297
0.776471,0.701019
0.780392,0.709510
0.784314,0.702806
0.788235,0.701426
0.792157,0.698535
0.796078,0.689990
0.800000,0.694966
0.803922,0.712665
0.807843,0.707273
0.811765,0.702806
0.815686,0.700993
0.819608,0.700787
0.823529,0.693492
0.827451,0.682420
0.831373,0.674533
0.835294,0.662674
0.839216,0.653023
0.843137,0.649404
0.847059,0.642914
0.850980,0.639142
0.854902,0.637735
0.858824,0.637681
0.862745,0.638722
0.866667,0.644898
0.870588,0.644868
0.874510,0.645998
0.878431,0.647982
0.882353,0.655406
0.886275,0.656061
0.890196,0.660777
0.894118,0.659910
0.898039,0.663833
0.901961,0.665941
0.905882,0.665129
0.909804,0.675649
0.913725,0.673752
0.917647,0.674638
0.921569,0.673450
0.925490,0.669636
0.929412,0.677142
0.933333,0.676938
0.937255,0.669484
0.941176,0.669869
0.945098,0.678335
0.949020,0.672435
0.952941,0.666231
0.956863,0.661595
0.960784,0.657840
0.964706,0.654546
0.968627,0.652023
0.972549,0.649751
0.976471,0.647365
0.980392,0.649274
0.984314,0.647235
0.988235,0.647627
0.992157,0.653412
0.996078,0.661480
1.000000,0.661480
